Episode no = 10; won: False; Q(s,a) = nan; reward = -475.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2022-04-19 15:00:11
Episode no = 20; won: False; Q(s,a) = nan; reward = -435.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2022-04-19 15:00:25
Episode no = 30; won: False; Q(s,a) = nan; reward = -366.0; and epsilon = 0.996, win percentage = 0.0, 2022-04-19 15:00:38
Episode no = 40; won: False; Q(s,a) = nan; reward = -486.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2022-04-19 15:00:50
Episode no = 50; won: False; Q(s,a) = nan; reward = -494.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2022-04-19 15:01:08
Episode no = 60; won: False; Q(s,a) = -0.36327821893267925; reward = -508.0; and epsilon = 0.992, win percentage = 0.0, 2022-04-19 15:01:18
Episode no = 70; won: False; Q(s,a) = nan; reward = -469.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2022-04-19 15:01:31
Episode no = 80; won: False; Q(s,a) = nan; reward = -426.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2022-04-19 15:01:45
Episode no = 90; won: False; Q(s,a) = nan; reward = -496.0; and epsilon = 0.988, win percentage = 0.0, 2022-04-19 15:01:58
Episode no = 100; won: False; Q(s,a) = nan; reward = -447.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2022-04-19 15:02:09
Episode no = 110; won: False; Q(s,a) = nan; reward = -420.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2022-04-19 15:02:21
Episode no = 120; won: False; Q(s,a) = nan; reward = -471.0; and epsilon = 0.984, win percentage = 0.0, 2022-04-19 15:02:36
Episode no = 130; won: False; Q(s,a) = nan; reward = -489.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2022-04-19 15:02:53
Episode no = 140; won: False; Q(s,a) = 4.1340961136935075; reward = -468.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2022-04-19 15:03:09
Episode no = 150; won: False; Q(s,a) = nan; reward = -398.0; and epsilon = 0.98, win percentage = 0.0, 2022-04-19 15:03:31
Episode no = 160; won: False; Q(s,a) = 4.688643289815013; reward = -500.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2022-04-19 15:03:43
Episode no = 170; won: False; Q(s,a) = nan; reward = -491.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2022-04-19 15:04:03
Episode no = 180; won: False; Q(s,a) = 0.11271477755465678; reward = -389.0; and epsilon = 0.976, win percentage = 0.0, 2022-04-19 15:04:14
Episode no = 190; won: False; Q(s,a) = 3.2553222417930856; reward = -515.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2022-04-19 15:04:30
Episode no = 200; won: False; Q(s,a) = 1.043539272698316; reward = -480.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2022-04-19 15:04:50
Episode no = 210; won: False; Q(s,a) = 2.9080345977396007; reward = -480.0; and epsilon = 0.972, win percentage = 0.0, 2022-04-19 15:05:08
Episode no = 220; won: False; Q(s,a) = nan; reward = -492.0; and epsilon = 0.9706666666666667, win percentage = 0.0, 2022-04-19 15:05:17
Episode no = 230; won: False; Q(s,a) = 5.733028898307608; reward = -471.0; and epsilon = 0.9693333333333334, win percentage = 0.0, 2022-04-19 15:05:32
Episode no = 240; won: False; Q(s,a) = nan; reward = -492.0; and epsilon = 0.968, win percentage = 0.0, 2022-04-19 15:05:45
Episode no = 250; won: False; Q(s,a) = 2.161410989502019; reward = -422.0; and epsilon = 0.9666666666666667, win percentage = 0.0, 2022-04-19 15:06:01
Episode no = 260; won: False; Q(s,a) = 7.311702845221409; reward = -491.0; and epsilon = 0.9653333333333334, win percentage = 0.0, 2022-04-19 15:06:14
Episode no = 270; won: False; Q(s,a) = 6.146252072592305; reward = -439.0; and epsilon = 0.964, win percentage = 0.0, 2022-04-19 15:06:24
Episode no = 280; won: False; Q(s,a) = nan; reward = -501.0; and epsilon = 0.9626666666666667, win percentage = 0.0, 2022-04-19 15:06:33
Episode no = 290; won: False; Q(s,a) = nan; reward = -428.0; and epsilon = 0.9613333333333334, win percentage = 0.0, 2022-04-19 15:06:44
Episode no = 300; won: False; Q(s,a) = 19.93793216770679; reward = -451.0; and epsilon = 0.96, win percentage = 0.0, 2022-04-19 15:06:52
Episode no = 310; won: False; Q(s,a) = 16.33627144466749; reward = -434.0; and epsilon = 0.9586666666666667, win percentage = 0.0, 2022-04-19 15:07:08
Episode no = 320; won: False; Q(s,a) = nan; reward = -430.0; and epsilon = 0.9573333333333334, win percentage = 0.0, 2022-04-19 15:07:26
Episode no = 330; won: False; Q(s,a) = nan; reward = -493.0; and epsilon = 0.956, win percentage = 0.0, 2022-04-19 15:07:44
Episode no = 340; won: False; Q(s,a) = 19.294051337528806; reward = -426.0; and epsilon = 0.9546666666666667, win percentage = 0.0, 2022-04-19 15:07:53
Episode no = 350; won: False; Q(s,a) = 28.309903666482622; reward = -458.0; and epsilon = 0.9533333333333334, win percentage = 0.0, 2022-04-19 15:08:09
Episode no = 360; won: False; Q(s,a) = nan; reward = -474.0; and epsilon = 0.952, win percentage = 0.0, 2022-04-19 15:08:25
Episode no = 370; won: False; Q(s,a) = nan; reward = -481.0; and epsilon = 0.9506666666666667, win percentage = 0.0, 2022-04-19 15:08:39
Episode no = 380; won: False; Q(s,a) = 23.782244229979785; reward = -500.0; and epsilon = 0.9493333333333334, win percentage = 0.0, 2022-04-19 15:09:02
Episode no = 390; won: False; Q(s,a) = 28.120795787384438; reward = -452.0; and epsilon = 0.948, win percentage = 0.0, 2022-04-19 15:09:16
Episode no = 400; won: False; Q(s,a) = 28.157348179813678; reward = -268.0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2022-04-19 15:09:36
Episode no = 410; won: False; Q(s,a) = 37.34423452680709; reward = -453.0; and epsilon = 0.9453333333333334, win percentage = 0.0, 2022-04-19 15:09:45
Episode no = 420; won: False; Q(s,a) = 36.244486360187494; reward = -488.0; and epsilon = 0.944, win percentage = 0.0, 2022-04-19 15:09:57
Episode no = 430; won: False; Q(s,a) = 9.737375268286113; reward = -455.0; and epsilon = 0.9426666666666667, win percentage = 0.0, 2022-04-19 15:10:08
Episode no = 440; won: False; Q(s,a) = 1.8675151042768512; reward = -435.0; and epsilon = 0.9413333333333334, win percentage = 0.0, 2022-04-19 15:10:32
Episode no = 450; won: False; Q(s,a) = 27.31945220010013; reward = -421.0; and epsilon = 0.94, win percentage = 0.0, 2022-04-19 15:10:43
Episode no = 460; won: False; Q(s,a) = nan; reward = -441.0; and epsilon = 0.9386666666666666, win percentage = 0.0, 2022-04-19 15:10:55
Episode no = 470; won: False; Q(s,a) = 2.6070597148654273; reward = -451.0; and epsilon = 0.9373333333333334, win percentage = 0.0, 2022-04-19 15:11:05
Episode no = 480; won: False; Q(s,a) = 34.21797936923179; reward = -459.0; and epsilon = 0.9359999999999999, win percentage = 0.0, 2022-04-19 15:11:21
Episode no = 490; won: False; Q(s,a) = 31.664105666806318; reward = -451.0; and epsilon = 0.9346666666666666, win percentage = 0.0, 2022-04-19 15:11:35
Episode no = 500; won: False; Q(s,a) = 26.381436718678692; reward = -445.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2022-04-19 15:11:45
Episode no = 510; won: False; Q(s,a) = 30.889218554395743; reward = -403.0; and epsilon = 0.9319999999999999, win percentage = 0.0, 2022-04-19 15:11:56
Episode no = 520; won: False; Q(s,a) = nan; reward = -448.0; and epsilon = 0.9306666666666666, win percentage = 0.0, 2022-04-19 15:12:06
Episode no = 530; won: False; Q(s,a) = nan; reward = -451.0; and epsilon = 0.9293333333333333, win percentage = 0.0, 2022-04-19 15:12:17
Episode no = 540; won: False; Q(s,a) = 34.20162836293849; reward = -420.0; and epsilon = 0.928, win percentage = 0.0, 2022-04-19 15:12:31
Episode no = 550; won: False; Q(s,a) = 39.165101491876925; reward = -503.0; and epsilon = 0.9266666666666666, win percentage = 0.0, 2022-04-19 15:12:50
Episode no = 560; won: False; Q(s,a) = 36.785991633962176; reward = -433.0; and epsilon = 0.9253333333333333, win percentage = 0.0, 2022-04-19 15:13:02
Episode no = 570; won: False; Q(s,a) = 42.07169233438086; reward = -468.0; and epsilon = 0.924, win percentage = 0.0, 2022-04-19 15:13:19
Episode no = 580; won: False; Q(s,a) = 42.50551429141065; reward = -464.0; and epsilon = 0.9226666666666666, win percentage = 0.0, 2022-04-19 15:13:28
Episode no = 590; won: False; Q(s,a) = 41.11817693459524; reward = -413.0; and epsilon = 0.9213333333333333, win percentage = 0.0, 2022-04-19 15:13:43
Episode no = 600; won: False; Q(s,a) = nan; reward = -479.0; and epsilon = 0.92, win percentage = 0.0, 2022-04-19 15:13:51
Episode no = 610; won: False; Q(s,a) = 27.117682493072568; reward = -439.0; and epsilon = 0.9186666666666666, win percentage = 0.0, 2022-04-19 15:13:58
Episode no = 620; won: False; Q(s,a) = 45.43079734728229; reward = -491.0; and epsilon = 0.9173333333333333, win percentage = 0.0, 2022-04-19 15:14:18
Episode no = 630; won: False; Q(s,a) = 40.17372697399007; reward = -465.0; and epsilon = 0.916, win percentage = 0.0, 2022-04-19 15:14:34
Episode no = 640; won: False; Q(s,a) = nan; reward = -476.0; and epsilon = 0.9146666666666666, win percentage = 0.0, 2022-04-19 15:14:50
Episode no = 650; won: False; Q(s,a) = 29.888819116760697; reward = -453.0; and epsilon = 0.9133333333333333, win percentage = 0.0, 2022-04-19 15:15:13
Episode no = 660; won: False; Q(s,a) = 37.42158537763118; reward = -408.0; and epsilon = 0.912, win percentage = 0.0, 2022-04-19 15:15:29
Episode no = 670; won: False; Q(s,a) = 49.16096682689684; reward = -407.0; and epsilon = 0.9106666666666666, win percentage = 0.0, 2022-04-19 15:15:41
Episode no = 680; won: False; Q(s,a) = 47.185350383922476; reward = -447.0; and epsilon = 0.9093333333333333, win percentage = 0.0, 2022-04-19 15:15:58
Episode no = 690; won: False; Q(s,a) = 40.319574093844615; reward = -370.0; and epsilon = 0.908, win percentage = 0.0, 2022-04-19 15:16:11
Episode no = 700; won: False; Q(s,a) = 42.46571294615662; reward = -410.0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2022-04-19 15:16:22
